;Отчет по термометрии на 05.03.2026.;;;;;;;;;
;;;;;;;;;;
;Силос 3а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-3,5;-3,1;-3,1;-2,4;-2,8;-3,0; ;-2,4;
;подвеска 2 ;-2,2;-1,8;-1,9;-1,0;-1,1;-1,0; ;-1,0;
;подвеска 3 ;-3,3;-3,5;-2,6;-2,5;-3,0;-2,1; ;-2,1;
;подвеска 4 ;-5,8;-4,8;-5,2;-5,6;-5,1;-4,4; ;-4,4;
;подвеска 5 ;-4,0;-3,8;-3,1;-3,2;-3,6;-3,0; ;-3,0;
;подвеска 6 ;-4,5;-3,5;-3,7;-3,3;-3,5;-3,1; ;-3,1;
;подвеска 7 ;-3,3;-3,3;-3,2;-2,7;-3,2;-3,2; ;-2,7;
;подвеска 8 ;-5,3;-4,5;-5,0;-4,9;-5,0;-5,3; ;-4,5;
;подвеска 9 ;-5,5;-4,9;-4,8;-5,4;-4,8;-4,6; ;-4,6;
;подвеска 10 ;-3,9;-3,4;-2,9;-3,7;-3,5;-3,2; ;-2,9;
;подвеска 11 ;-3,0;-3,6;-3,5;-3,1;-3,0;-2,7; ;-2,7;
;;;;;;;;;;
;Силос 4а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;6,7;8,5;8,8;16,3;3,4;2,6; ;16,3;
;подвеска 2 ;1,4;8,4;22,8;48,0;3,5;3,1; ;48,0;
;подвеска 3 ;3,4;7,6;7,9;12,1;1,8;2,1; ;12,1;
;подвеска 4 ;3,5;4,8;5,2;6,7;11,8;1,4; ;11,8;
;подвеска 5 ;3,8;6,2;7,3;43,4;16,9;2,7; ;43,4;
;подвеска 6 ;-2,0;2,6;5,7;8,6;14,2;4,7; ;14,2;
;подвеска 7 ;-5,0;1,6;5,2;6,4;13,2;0,8; ;13,2;
;подвеска 8 ;-5,5;-3,5;1,8;5,1;12,7;1,1; ;12,7;
;подвеска 9 ;-1,3;4,5;5,4;8,1;14,6;0,8; ;14,6;
;подвеска 10 ;4,0;6,6;27,1;8,7;11,4;1,5; ;27,1;
;подвеска 11 ;4,8;6,2;7,0;8,3;13,7;1,7; ;13,7;
;;;;;;;;;;
;Силос 5а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;7,9;0,3;-1,4;-1,5;-1,0;-1,2; ;7,9;
;подвеска 2 ;-2,6;-1,8;2,3;-1,3;-1,5;-1,0; ;2,3;
;подвеска 3 ;0,1;1,5;-1,2;-1,5;-1,0;-1,0; ;1,5;
;подвеска 4 ;-9,9;1,5;-3,0;-2,9;-3,4;-3,3; ;1,5;
;подвеска 5 ;-5,8;1,8;-1,7;-1,5;-1,4;-1,3; ;1,8;
;подвеска 6 ;-9,9;-0,1;-2,3;-1,3;-2,6;-1,0; ;-0,1;
;подвеска 7 ;-5,8;0,6;-2,3;-1,4;-2,1;-0,1; ;0,6;
;подвеска 8 ;-6,2;-0,3;-3,3;-3,4;-3,4;71,2; ;71,2;
;подвеска 9 ;-7,8;0,2;-3,0;18,3;71,2;-2,9; ;71,2;
;подвеска 10 ;-4,6;-0,6;71,2;71,2;71,2;-1,1; ;71,2;
;подвеска 11 ;-7,0;0,0;-3,3;-3,3;-3,3;-3,4; ;0,0;
;;;;;;;;;;
;Силос 6а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-4,0;-4,2;-0,9;-1,4;-3,9;-2,8; ;-0,9;
;подвеска 2 ;-6,0;-2,3;1,5;-2,7;-2,7;-2,6; ;1,5;
;подвеска 3 ;-7,2;-4,6;0,8;-4,0;-2,3;-2,6; ;0,8;
;подвеска 4 ;-13,4;-11,8;-6,9;-0,2;-5,7;-6,5; ;-0,2;
;подвеска 5 ;-13,1;-10,9;-6,1;-0,5;-4,5;-6,2; ;-0,5;
;подвеска 6 ;-11,8;-9,0;-4,3;1,0;-3,0;-4,4; ;1,0;
;подвеска 7 ;-11,8;-10,9;-6,4;-2,1;-4,6;-5,6; ;-2,1;
;подвеска 8 ;-10,0;-7,5;-2,4;0,2;-4,0;-5,8; ;0,2;
;подвеска 9 ;-13,5;-9,3;-5,6;-1,0;-4,9;-4,6; ;-1,0;
;подвеска 10 ;-10,2;-8,8;-5,1;-0,6;-6,1;-6,4; ;-0,6;
;подвеска 11 ;-7,7;-8,0;-5,7;-1,1;-6,3;-6,1; ;-1,1;
;;;;;;;;;;
;Силос 7а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-11,7;-7,3;-5,0;-5,0;-4,9;-3,7; ;-3,7;
;подвеска 2 ;-12,1;-7,7;-5,2;-4,9;-5,1;-4,4; ;-4,4;
;подвеска 3 ;-10,9;-7,0;-3,2;-4,1;-3,0;-3,5; ;-3,0;
;подвеска 4 ;-2,8;-3,6;-3,1;-2,5;71,2;-2,8; ;71,2;
;подвеска 5 ;-10,1;-7,0;-5,1;-5,0;-5,3;-4,2; ;-4,2;
;подвеска 6 ;-6,5;-4,6;-4,1;-3,4;1,7;-3,7; ;1,7;
;подвеска 7 ;-1,9;-2,7;-3,1;-2,6;-2,6;-1,9; ;-1,9;
;подвеска 8 ;-3,9;-3,3;-3,7;-3,0;-2,4;-1,7; ;-1,7;
;подвеска 9 ;-13,3;-9,4;-5,6;-5,5;-4,6;-4,6; ;-4,6;
;подвеска 10 ;-10,0;-6,5;-2,9;-2,8;-3,3;-1,6; ;-1,6;
;подвеска 11 ;-3,5;-4,1;-3,8;-4,0;-9,5;-10,3; ;-3,5;
;;;;;;;;;;
;Силос 8а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;0,9;12,3;23,8;3,4;3,3;3,5; ;23,8;
;подвеска 2 ;-3,1;1,0;10,7;71,2;71,2;71,2; ;71,2;
;подвеска 3 ;7,9;15,9;24,5;9,9;4,1;18,1; ;24,5;
;подвеска 4 ;-0,9;71,2;17,9;28,8;39,3;3,4; ;71,2;
;подвеска 5 ;-8,5;-3,7;10,6;22,6;3,7;2,5; ;22,6;
;подвеска 6 ;18,3;33,1;37,8;5,3;6,8;5,5; ;37,8;
;подвеска 7 ;6,3;3,8;71,2;71,2;37,7;6,8; ;71,2;
;подвеска 8 ;6,6;37,5;16,8;39,5;28,9;5,7; ;39,5;
;подвеска 9 ;71,2;10,8;29,0;19,1;37,3;3,4; ;71,2;
;подвеска 10 ;1,0;4,7;13,5;22,9;3,3;3,6; ;22,9;
;подвеска 11 ;71,2;4,7;13,6;30,7;4,2;2,9; ;71,2;
;;;;;;;;;;
;Силос 3б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;8,5;23,8;36,6;45,5;6,5;6,8; ;45,5;
;подвеска 2 ;15,2;36,9;35,5;41,7;7,7;7,3; ;41,7;
;подвеска 3 ;9,1;31,0;40,5;50,3;7,6;7,5; ;50,3;
;подвеска 4 ;-3,3;0,8;6,2;10,6;20,0;3,3; ;20,0;
;подвеска 5 ;0,8;9,6;13,1;16,3;27,7;5,5; ;27,7;
;подвеска 6 ;4,7;16,1;30,2;38,2;41,0;7,5; ;41,0;
;подвеска 7 ;9,5;19,4;33,8;38,9;40,9;7,0; ;40,9;
;подвеска 8 ;7,5;17,9;32,6;36,4;38,5;5,1; ;38,5;
;подвеска 9 ;6,2;30,2;38,9;6,6;5,6;6,6; ;38,9;
;подвеска 10 ;30,5;10,5;14,6;33,4;5,3;5,9; ;33,4;
;подвеска 11 ;8,5;11,4;14,9;19,5;27,1;5,8; ;27,1;
;;;;;;;;;;
;Силос 4б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;8,0;15,5;31,5;37,2;39,2;4,9; ;39,2;
;подвеска 2 ;9,5;17,9;31,6;37,2;40,7;5,1; ;40,7;
;подвеска 3 ;24,8;32,0;35,5;4,2;5,1;5,9; ;35,5;
;подвеска 4 ;-7,4;-1,0;11,7;30,4;37,9;45,4; ;45,4;
;подвеска 5 ;-5,1;3,0;13,7;32,2;38,4;45,3; ;45,3;
;подвеска 6 ;-3,0;4,9;15,4;33,8;71,2;38,5; ;71,2;
;подвеска 7 ;-9,9;-1,3;10,2;29,0;37,6;52,4; ;52,4;
;подвеска 8 ;-2,2;3,5;12,4;29,8;37,8;4,6; ;37,8;
;подвеска 9 ;-2,8;2,2;13,7;31,6;5,9;4,2; ;31,6;
;подвеска 10 ;-6,9;2,2;13,1;29,7;3,4;3,6; ;29,7;
;подвеска 11 ;-10,1;-1,6;8,8;22,2;35,3;39,2; ;39,2;
;;;;;;;;;;
;Силос 5б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-2,2;1,9;6,5;7,9;1,9;-2,4; ;7,9;
;подвеска 2 ;-2,3;4,8;7,4;9,5;3,0;-2,6; ;9,5;
;подвеска 3 ;5,5;-1,0;7,3;7,4;9,8;-3,0; ;9,8;
;подвеска 4 ;-11,6;-7,8;-1,3;4,4;7,8;-4,8; ;7,8;
;подвеска 5 ;-13,0;-6,9;-1,6;4,0;7,5;-5,8; ;7,5;
;подвеска 6 ;-10,5;-4,0;1,0;6,5;5,8;-4,4; ;6,5;
;подвеска 7 ;-9,7;-7,4;-2,2;2,4;4,7;-8,7; ;4,7;
;подвеска 8 ;-10,5;-6,8;-0,5;4,3;6,5;-4,2; ;6,5;
;подвеска 9 ;-3,4;1,0;4,0;5,0;7,3;-6,6; ;7,3;
;подвеска 10 ;-3,9;-2,6;1,4;5,4;6,9;-3,8; ;6,9;
;подвеска 11 ;-9,8;10,6;-2,6;2,1;5,7;-6,5; ;10,6;
;;;;;;;;;;
;Силос 6б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-1,1;-1,8;-1,8;-1,4;-1,4;-0,5; ;-0,5;
;подвеска 2 ;-0,7;-1,1;-1,5;-1,2;-0,6;-1,1; ;-0,6;
;подвеска 3 ;-0,9;-1,2;-0,8;-1,6;-0,9;-0,6; ;-0,6;
;подвеска 4 ;-1,6;-1,5;-2,0;-1,6;-1,7;-0,9; ;-0,9;
;подвеска 5 ;-2,9;-1,8;-1,6;-1,2;-1,3;-0,6; ;-0,6;
;подвеска 6 ;-1,6;-1,6;-1,8;-1,6;-1,4;-0,7; ;-0,7;
;подвеска 7 ;-1,8;-2,0;-1,3;-1,7;-1,4;-0,7; ;-0,7;
;подвеска 8 ;-2,1;-2,1;-1,1;-1,6;-2,0;-1,4; ;-1,1;
;подвеска 9 ;-1,8;-2,2;-1,6;-1,7;-0,7;-0,5; ;-0,5;
;подвеска 10 ;-1,4;-1,4;-1,4;-1,0;-1,8;-1,4; ;-1,0;
;подвеска 11 ;-1,3;-1,4;-1,4;-1,2;-1,0;-0,9; ;-0,9;
;;;;;;;;;;
;Силос 7б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;4,3;8,2;28,0;42,4;-1,1;-1,0; ;42,4;
;подвеска 2 ;71,2;7,7;9,4;-1,8;-1,4;-1,3; ;71,2;
;подвеска 3 ;-6,0;1,5;4,2;5,8;6,8;-3,4; ;6,8;
;подвеска 4 ;-5,9;0,4;3,8;7,2;7,1;-1,6; ;7,2;
;подвеска 5 ;-0,3;-1,2;-0,5;-0,8;25,7;26,4; ;26,4;
;подвеска 6 ;4,1;5,7;7,1;6,2;-2,6;-2,0; ;7,1;
;подвеска 7 ;-4,2;9,7;32,7;-0,7;-1,6;-0,7; ;32,7;
;подвеска 8 ;4,4;4,2;6,0;7,9;9,1;-3,0; ;9,1;
;подвеска 9 ;4,8;6,4;7,1;9,1;10,0;-2,0; ;10,0;
;подвеска 10 ;-12,5;-6,4;-1,1;4,0;-3,9;-4,1; ;4,0;
;подвеска 11 ;-5,9;0,0;3,8;5,7;6,0;-3,6; ;6,0;
;;;;;;;;;;
;Силос 8б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-1,3;3,2;4,7;8,4;11,4;-5,0; ;11,4;
;подвеска 2 ;-1,2;2,7;4,1;7,3;10,3;8,4; ;10,3;
;подвеска 3 ;-1,0;0,9;2,4;5,3;9,4;10,1; ;10,1;
;подвеска 4 ;-0,9;3,2;4,1;7,0;6,8;12,2; ;12,2;
;подвеска 5 ;24,4;11,6;8,2;4,1;-7,0;-0,6; ;24,4;
;подвеска 6 ;-5,0;4,9;6,8;10,8;15,2;-1,8; ;15,2;
;подвеска 7 ;2,2;4,2;4,7;7,4;12,0;12,0; ;12,0;
;подвеска 8 ;0,6;2,8;4,3;7,8;11,8;10,7; ;11,8;
;подвеска 9 ;-6,5;-2,9;0,3;2,6;7,8;-1,8; ;7,8;
;подвеска 10 ;-3,7;4,0;6,0;17,9;15,5;-3,3; ;17,9;
;подвеска 11 ;-0,7;-31,1;5,9;8,5;0,7;13,1; ;13,1;
;;;;;;;;;;
;Силос 1а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;-1,9;-2,0;-2,3;-2,6;-2,4;71,2; ;71,2;
;подвеска 2 ;-2,6;-1,0;-2,3;-2,4;-1,9;71,2; ;71,2;
;подвеска 3 ;-1,9;-2,2;-3,3;-2,3;-2,6;71,2; ;71,2;
;;;;;;;;;;
;Силос 2а ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 4 ;3,8;-0,6;1,9;2,6;-2,6;71,2; ;71,2;
;подвеска 5 ;2,6;2,1;4,0;-1,4;71,2;-2,2; ;71,2;
;подвеска 6 ;4,9;1,2;2,4;-2,3;-2,0;71,2; ;71,2;
;;;;;;;;;;
;Силос 1б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 1 ;2,3;-0,8;4,1;0,2;0,3;71,2; ;71,2;
;подвеска 2 ;0,2;-1,9;-6,0;-1,5;-5,8;71,2; ;71,2;
;подвеска 3 ;4,3;-0,6;5,3;-0,1;-0,3;71,2; ;71,2;
;;;;;;;;;;
;Силос 2б ; датчик 1 ; датчик 2 ; датчик 3 ; датчик 4 ; датчик 5 ; датчик 6 ; ; макс ;05.03.2026
;подвеска 4 ;-7,3;-5,9;-6,8;-7,7;-6,1;71,2; ;71,2;
;подвеска 5 ;-2,6;-2,3;-2,4;-2,3;-1,8;71,2; ;71,2;
;подвеска 6 ;-8,3;-7,2;-7,2;-7,0;-1,8;71,2; ;71,2;
